@W: FA406 |Environment variable QUARTUS_ROOTDIR not set. Cannot determine PAR version.
@W: FX107 :"/home/gfa2226/fpga/edge_detect/uvm/sv/fifo.sv":35:4:35:12|RAM fifo_buf[23:0] (in view: work.fifo_24s_1024s_11s(verilog)) does not have a read/write conflict check. Possible simulation mismatch. To resolve a read/write conflict, either set syn_ramstyle = rw_check, or enable the "Read Write Check on RAM" Implementation Option. For more information, search for "read/write conflict check" in Online Help.
@W: FX107 :"/home/gfa2226/fpga/edge_detect/uvm/sv/fifo.sv":35:4:35:12|RAM fifo_buf[7:0] (in view: work.fifo_8s_1024s_11s_0(verilog)) does not have a read/write conflict check. Possible simulation mismatch. To resolve a read/write conflict, either set syn_ramstyle = rw_check, or enable the "Read Write Check on RAM" Implementation Option. For more information, search for "read/write conflict check" in Online Help.
@W: FX107 :"/home/gfa2226/fpga/edge_detect/uvm/sv/fifo.sv":35:4:35:12|RAM fifo_buf[7:0] (in view: work.fifo_8s_1024s_11s_1(verilog)) does not have a read/write conflict check. Possible simulation mismatch. To resolve a read/write conflict, either set syn_ramstyle = rw_check, or enable the "Read Write Check on RAM" Implementation Option. For more information, search for "read/write conflict check" in Online Help.
@W: FX107 :"/home/gfa2226/fpga/edge_detect/uvm/sv/shift_reg.sv":15:0:15:8|RAM sr.sr.sr_1[7:0] (in view: work.sobel_540s_720s_1443s(verilog)) does not have a read/write conflict check. Possible simulation mismatch. To resolve a read/write conflict, either set syn_ramstyle = rw_check, or enable the "Read Write Check on RAM" Implementation Option. For more information, search for "read/write conflict check" in Online Help.
@W: FX107 :"/home/gfa2226/fpga/edge_detect/uvm/sv/shift_reg.sv":15:0:15:8|RAM sr.sr.sr[7:0] (in view: work.sobel_540s_720s_1443s(verilog)) does not have a read/write conflict check. Possible simulation mismatch. To resolve a read/write conflict, either set syn_ramstyle = rw_check, or enable the "Read Write Check on RAM" Implementation Option. For more information, search for "read/write conflict check" in Online Help.
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[31]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[30]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[29]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[28]
@W: BN137 :"/home/gfa2226/fpga/edge_detect/uvm/sv/sobel.sv":64:4:64:7|Found combinational loop during mapping at net sobel_inst.count_c_12[27]
